id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags,display_name,is_famous,has_real_website
2711,Palmarium,Sarawak,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,1 Day,Couple,Flight,Boutique Hotel,Highland & Nature,Nature & Outdoors,attraction,5.0,,Unknown,Palmarium,Kuching,5.0,False,,Unknown,,1.5496487,110.3656318,https://www.google.com/maps/search/Palmarium+Sarawak,Google Places,Palmarium,Palmarium,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Palmarium,True,False
2712,Observatory Deck @The Top Penang,Penang,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Sightseeing,1 Day,Family,Taxi/Grab,Homestay,Heritage & Culture,Sightseeing & Tours,attraction,5.0,,Unknown,Observatory Deck @The Top Penang,George Town,5.0,False,,Unknown,,5.414587200000001,100.3297474,https://www.google.com/maps/search/Observatory+Deck+@The+Top+Penang+Penang,Google Places,Observatory Deck @The Top Penang,Observatory Deck @The Top Penang,Sightseeing & Tours,Heritage & Culture,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Observatory Deck @The Top Penang,True,False
2713,Malacca Numismatic Museum,Melaka,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Group of Friends,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,5.0,,Unknown,Malacca Numismatic Museum,Melaka,5.0,False,,Unknown,,2.1954929,102.2464888,https://www.google.com/maps/search/Malacca+Numismatic+Museum+Melaka,Google Places,Malacca Numismatic Museum,Malacca Numismatic Museum,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Malacca Numismatic Museum,True,False
2714,Bishop Street (Penang Heritage Area),Penang,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,2-3 Days,Solo,Taxi/Grab,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,4.0,,Unknown,Bishop Street (Penang Heritage Area),George Town,4.0,False,,Unknown,,5.4188576,100.3411874,https://www.google.com/maps/search/Bishop+Street+(Penang+Heritage+Area)+Penang,Google Places,Bishop Street (Penang Heritage Area),Bishop Street (Penang Heritage Area,Sightseeing & Tours,Heritage & Culture,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed,Bishop Street (Penang Heritage Area),True,False
2715,Pusat Jayadiri Ypkdt Daerah Johor Bahru,Johor,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Group of Friends,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,5.0,,Unknown,Pusat Jayadiri Ypkdt Daerah Johor Bahru,Johor Bahru,5.0,False,,Unknown,,1.4682020999999998,103.7462488,https://www.google.com/maps/search/Pusat+Jayadiri+Ypkdt+Daerah+Johor+Bahru+Johor,Google Places,Pusat Jayadiri Ypkdt Daerah Johor Bahru,Pusat Jayadiri Ypkdt Daerah Johor Bahru,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Pusat Jayadiri Ypkdt Daerah Johor Bahru,True,False
2716,Empangan Pelana F,Terengganu,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Family,Public Transport,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,5.0,,Unknown,Empangan Pelana F,Kuala Terengganu,5.0,False,,Unknown,,5.1495126,102.8563093,https://www.google.com/maps/search/Empangan+Pelana+F+Terengganu,Google Places,Empangan Pelana F,Empangan Pelana F,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Empangan Pelana F,True,False
2717,Brooke Dockyard Industrial Heritage Museum,Sarawak,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Solo,Tour Bus,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,5.0,,Unknown,Brooke Dockyard Industrial Heritage Museum,Kuching,5.0,False,,Unknown,,1.5599911,110.3411542,https://www.google.com/maps/search/Brooke+Dockyard+Industrial+Heritage+Museum+Sarawak,Google Places,Brooke Dockyard Industrial Heritage Museum,Brooke Dockyard Industrial Heritage Museum,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Brooke Dockyard Industrial Heritage Museum,True,False
2718,Pasir Datuk,Pahang,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,2-3 Days,Group of Friends,Car/Self-Drive,Resort/Luxury Hotel,Eco & Wildlife,Nature & Outdoors,attraction,5.0,,Unknown,Pasir Datuk,Cameron Highlands,5.0,False,,Unknown,,3.5011111,102.7505556,https://www.google.com/maps/search/Pasir+Datuk+Pahang,Google Places,Pasir Datuk,Pasir Datuk,Nature & Outdoors,Eco & Wildlife,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Pasir Datuk,True,False
2719,Pasir Belakang,Pahang,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,Half Day,Solo,Car/Self-Drive,Mid-range Hotel,Highland & Nature,Nature & Outdoors,attraction,5.0,,Unknown,Pasir Belakang,Cameron Highlands,5.0,False,,Unknown,,2.2152778,104.0758333,https://www.google.com/maps/search/Pasir+Belakang+Pahang,Google Places,Pasir Belakang,Pasir Belakang,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Pasir Belakang,True,False
2720,Lubok Sembilang,Kedah,Budget,Premium,True,low,unknown_price_public_or_low_cost_keyword,Sightseeing,1 Day,Solo,Tour Bus,Mid-range Hotel,Beach & Island,Sightseeing & Tours,attraction,5.0,,Unknown,Lubok Sembilang,Langkawi,5.0,False,,Unknown,,6.35,99.8,https://www.google.com/maps/search/Lubok+Sembilang+Kedah,Google Places,Lubok Sembilang,Lubok Sembilang,Sightseeing & Tours,Beach & Island,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Lubok Sembilang,True,False
2721,Kuching Unesco Creative City Of Gastronomy,Sarawak,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Couple,Car/Self-Drive,Resort/Luxury Hotel,City & Urban,Sightseeing & Tours,attraction,5.0,,Unknown,Kuching Unesco Creative City Of Gastronomy,Kuching,5.0,False,,Unknown,,1.5582695,110.345929,https://www.google.com/maps/search/Kuching+Unesco+Creative+City+Of+Gastronomy+Sarawak,Google Places,Kuching Unesco Creative City Of Gastronomy,Kuching Unesco Creative City Of Gastronomy,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Kuching Unesco Creative City Of Gastronomy,True,False
2722,Sawahlunto Gallery,Melaka,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Group of Friends,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,5.0,,Unknown,Sawahlunto Gallery,Melaka,5.0,False,,Unknown,,2.191765,102.249941,https://www.google.com/maps/search/Sawahlunto+Gallery+Melaka,Google Places,Sawahlunto Gallery,Sawahlunto Gallery,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Sawahlunto Gallery,True,False
2723,We Love Komtar,Penang,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Sightseeing,1 Day,Family,Car/Self-Drive,Mid-range Hotel,Heritage & Culture,Sightseeing & Tours,attraction,5.0,,Unknown,We Love Komtar,George Town,5.0,False,,Unknown,,5.4141559,100.3289754,https://www.google.com/maps/search/We+Love+Komtar+Penang,Google Places,We Love Komtar,We Love Komtar,Sightseeing & Tours,Heritage & Culture,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,We Love Komtar,True,False
2724,Sunset View Point,Sabah,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,2-3 Days,Solo,Tour Bus,Resort/Luxury Hotel,Highland & Nature,Sightseeing & Tours,attraction,5.0,,Unknown,Sunset View Point,Kota Kinabalu,5.0,False,,Unknown,,5.987101399999999,116.075278,https://www.google.com/maps/search/Sunset+View+Point+Sabah,Google Places,Sunset View Point,Sunset View Point,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Sunset View Point,True,False
2725,Pasir Tenggara,Pahang,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,1 Day,Solo,Car/Self-Drive,Mid-range Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.0,,Unknown,Pasir Tenggara,Cameron Highlands,4.0,False,,Unknown,,5.6119444,103.0611111,https://www.google.com/maps/search/Pasir+Tenggara+Pahang,Google Places,Pasir Tenggara,Pasir Tenggara,Nature & Outdoors,Eco & Wildlife,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Pasir Tenggara,True,False
2726,Pasir Panjang,Penang,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,1 Day,Family,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.0,,Unknown,Pasir Panjang,George Town,4.0,False,,Unknown,,5.3216667,100.3247222,https://www.google.com/maps/search/Pasir+Panjang+Penang,Google Places,Pasir Panjang,Pasir Panjang,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Pasir Panjang,True,False
2727,Chinese History Museum,Sarawak,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Couple,Tour Bus,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,5.0,,Unknown,Chinese History Museum,Kuching,5.0,False,,Unknown,,1.5572718,110.3487257,https://www.google.com/maps/search/Chinese+History+Museum+Sarawak,Google Places,Chinese History Museum,Chinese History Museum,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Chinese History Museum,True,False
2728,Johor Japan Football Gallery,Johor,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Couple,Car/Self-Drive,Mid-range Hotel,Heritage & Culture,Heritage & Museum,attraction,4.5,,Unknown,Johor Japan Football Gallery,Johor Bahru,4.5,False,,Unknown,,1.497204,103.7507346,https://www.google.com/maps/search/Johor+Japan+Football+Gallery+Johor,Google Places,Johor Japan Football Gallery,Johor Japan Football Gallery,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Johor Japan Football Gallery,True,False
2729,National Heritage Dept.,Melaka,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Family,Public Transport,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,3.9,,Unknown,National Heritage Dept.,Melaka,3.9,False,,Unknown,,2.1934738000000005,102.248278,https://www.google.com/maps/search/National+Heritage+Dept.+Melaka,Google Places,National Heritage Dept.,National Heritage Dept.,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,National Heritage Dept.,True,False
2730,The Museum,Penang,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Solo,Public Transport,Mid-range Hotel,Heritage & Culture,Heritage & Museum,attraction,4.8,,Unknown,The Museum,George Town,4.8,False,,Unknown,,5.419814,100.341696,https://www.google.com/maps/search/The+Museum+Penang,Google Places,The Museum In Penang,The Museum In Penang,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,name_normalized;price_unknown_not_imputed;product_text_removed,The Museum,True,False
2731,Laman Lotus,Kuala Lumpur,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,1 Day,Solo,Taxi/Grab,Mid-range Hotel,Highland & Nature,Nature & Outdoors,attraction,4.8,,Unknown,Laman Lotus,Kuala Lumpur,4.8,False,,Unknown,,3.1458169,101.6844532,https://www.google.com/maps/search/Laman+Lotus+Kuala+Lumpur,Google Places,Laman Lotus,Laman Lotus,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Laman Lotus,True,False
2732,Museum Srikandi Langkawi,Kedah,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Solo,Flight,Boutique Hotel,Heritage & Culture,Heritage & Museum,attraction,3.0,,Unknown,Museum Srikandi Langkawi,Langkawi,3.0,False,,Unknown,,6.3701472,99.6719213,https://www.google.com/maps/search/Museum+Srikandi+Langkawi+Kedah,Google Places,Museum Srikandi Langkawi,Museum Srikandi Langkawi,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Museum Srikandi Langkawi,True,False
2733,Time Tower Park (Taman Kanak-Kanak Tkk),Perak,Moderate,Premium,True,low,unknown_price_paid_attraction_keyword,Nature,2-3 Days,Family,Car/Self-Drive,Mid-range Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,,Unknown,Time Tower Park (Taman Kanak-Kanak Tkk),Ipoh,4.4,False,,Unknown,,4.5959697,101.0842341,https://www.google.com/maps/search/Time+Tower+Park+(Taman+Kanak-Kanak+Tkk)+Perak,Google Places,Time Tower Park (Taman Kanak-Kanak Tkk),Time Tower Park (Taman Kanak-Kanak Tkk,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed,Time Tower Park (Taman Kanak-Kanak Tkk),True,False
2734,Perak Hydro Building,Perak,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Group of Friends,Tour Bus,Boutique Hotel,Heritage & Culture,Heritage & Museum,attraction,4.6,,Unknown,Perak Hydro Building,Ipoh,4.6,False,,Unknown,,4.5973981,101.0760988,https://www.google.com/maps/search/Perak+Hydro+Building+Perak,Google Places,Perak Hydro Building,Perak Hydro Building,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Perak Hydro Building,True,False
2735,Melaka Chief Minister'S Gallery,Melaka,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Family,Public Transport,Homestay,Heritage & Culture,Heritage & Museum,attraction,3.8,,Unknown,Melaka Chief Minister'S Gallery,Melaka,3.8,False,,Unknown,,2.2206663,102.2557148,https://www.google.com/maps/search/Melaka+Chief+Minister'S+Gallery+Melaka,Google Places,Melaka Chief Minister'S Gallery,Melaka Chief Minister'S Gallery,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Melaka Chief Minister'S Gallery,True,False
2736,Muzium Etnografi Melayu (Malay Ethnographic Museum),Kuala Lumpur,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Family,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,4.3,,Unknown,Muzium Etnografi Melayu (Malay Ethnographic Museum),Kuala Lumpur,4.3,False,,Unknown,,3.1247184,101.6525389,https://www.google.com/maps/search/Muzium+Etnografi+Melayu+(Malay+Ethnographic+Museum)+Kuala+Lumpur,Google Places,Muzium Etnografi Melayu (Malay Ethnographic Museum),Muzium Etnografi Melayu (Malay Ethnographic Museum,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Muzium Etnografi Melayu (Malay Ethnographic Museum),True,False
2737,Wu Shi Jia Miao,Penang,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,2-3 Days,Family,Public Transport,Resort/Luxury Hotel,City & Urban,Sightseeing & Tours,attraction,4.7,,Unknown,Wu Shi Jia Miao,George Town,4.7,False,,Unknown,,5.418231,100.339951,https://www.google.com/maps/search/Wu+Shi+Jia+Miao+Penang,Google Places,Wu Shi Jia Miao,Wu Shi Jia Miao,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Wu Shi Jia Miao,True,False
2738,Kg Banggol Cempedak,Terengganu,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Couple,Car/Self-Drive,Mid-range Hotel,Heritage & Culture,Heritage & Museum,attraction,5.0,,Unknown,Kg Banggol Cempedak,Kuala Terengganu,5.0,False,,Unknown,,5.269544799999999,103.0721691,https://www.google.com/maps/search/Kg+Banggol+Cempedak+Terengganu,Google Places,Kg Banggol Cempedak,Kg Banggol Cempedak,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Kg Banggol Cempedak,True,False
2739,"Geology Museum, University Of Malaya",Kuala Lumpur,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Family,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,5.0,,Unknown,"Geology Museum, University Of Malaya",Kuala Lumpur,5.0,False,,Unknown,,3.1222541,101.6523895,https://www.google.com/maps/search/Geology+Museum+University+Of+Malaya+Kuala+Lumpur,Google Places,"Geology Museum, University Of Malaya","Geology Museum, University Of Malaya",Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,"Geology Museum, University Of Malaya",True,False
2740,Kampung Gong Baru,Terengganu,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Nature,1 Day,Couple,Taxi/Grab,Homestay,Heritage & Culture,Nature & Outdoors,attraction,5.0,,Unknown,Kampung Gong Baru,Kuala Terengganu,5.0,False,,Unknown,,5.2924848,103.1538769,https://www.google.com/maps/search/Kampung+Gong+Baru+Terengganu,Google Places,Kampung Gong Baru,Kampung Gong Baru,Nature & Outdoors,Heritage & Culture,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Kampung Gong Baru,True,False
2741,"Telok Pasir, Santubong Peninsula",Sarawak,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,2-3 Days,Group of Friends,Tour Bus,Boutique Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.1,,Unknown,"Telok Pasir, Santubong Peninsula",Kuching,4.1,False,,Unknown,,1.7781994,110.3398474,https://www.google.com/maps/search/Telok+Pasir+Santubong+Peninsula+Sarawak,Google Places,"Telok Pasir, Santubong Peninsula","Telok Pasir, Santubong Peninsula",Nature & Outdoors,Eco & Wildlife,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,"Telok Pasir, Santubong Peninsula",True,False
2742,Muzium Komuniti Pogunon,Sabah,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Solo,Flight,Mid-range Hotel,Heritage & Culture,Heritage & Museum,attraction,4.2,,Unknown,Muzium Komuniti Pogunon,Kota Kinabalu,4.2,False,,Unknown,,5.913286299999999,116.1450318,https://www.google.com/maps/search/Muzium+Komuniti+Pogunon+Sabah,Google Places,Muzium Komuniti Pogunon,Muzium Komuniti Pogunon,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Muzium Komuniti Pogunon,True,False
2743,Rocky Sky Ladder,Perak,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Sightseeing,2-3 Days,Group of Friends,Tour Bus,Mid-range Hotel,Heritage & Culture,Sightseeing & Tours,attraction,4.0,,Unknown,Rocky Sky Ladder,Ipoh,4.0,False,,Unknown,,4.5599848000000005,101.1187696,https://www.google.com/maps/search/Rocky+Sky+Ladder+Perak,Google Places,Rocky Sky Ladder,Rocky Sky Ladder,Sightseeing & Tours,Heritage & Culture,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Rocky Sky Ladder,True,False
2744,Bandaraya Warisan Pesisir Air,Terengganu,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Family,Car/Self-Drive,Mid-range Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.7,,Unknown,Bandaraya Warisan Pesisir Air,Kuala Terengganu,4.7,False,,Unknown,,5.334063,103.1311794,https://www.google.com/maps/search/Bandaraya+Warisan+Pesisir+Air+Terengganu,Google Places,Bandaraya Warisan Pesisir Air,Bandaraya Warisan Pesisir Air,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Bandaraya Warisan Pesisir Air,True,False
2745,World Heritage Lane,Terengganu,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Solo,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,4.3,,Unknown,World Heritage Lane,Kuala Terengganu,4.3,False,,Unknown,,5.3347038,103.1338116,https://www.google.com/maps/search/World+Heritage+Lane+Terengganu,Google Places,World Heritage Lane,World Heritage Lane,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,World Heritage Lane,True,False
2746,Wakanda Art Museum,Kedah,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Family,Tour Bus,Mid-range Hotel,Heritage & Culture,Heritage & Museum,attraction,4.5,,Unknown,Wakanda Art Museum,Langkawi,4.5,False,,Unknown,,6.3721302,99.6716476,https://www.google.com/maps/search/Wakanda+Art+Museum+Kedah,Google Places,Wakanda 3D Art Museum,Wakanda 3D Art Museum,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,name_normalized;price_unknown_not_imputed;product_text_removed,Wakanda Art Museum,True,False
2747,Redang Holiday Beach Villa Resort,Terengganu,Premium,Moderate,True,low,unknown_price_premium_activity_or_resort_keyword,Relaxation,1 Day,Family,Boat,Resort/Luxury Hotel,City & Urban,Accommodation,accommodation,4.5,,Unknown,Redang Holiday Beach Villa Resort,Kuala Terengganu,4.5,False,,Unknown,,5.336462,103.14252,https://www.google.com/maps/search/Redang+Holiday+Beach+Villa+Resort+Terengganu,Google Places,Redang Holiday Beach Villa Resort,Redang Holiday Beach Villa Resort,Nature & Outdoors,Beach & Island,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed,Redang Holiday Beach Villa Resort,True,False
2748,Paloh Street Food Paradise,Perak,Budget,Premium,True,low,unknown_price_low_cost_food_keyword,Food,2-3 Days,Family,Tour Bus,Homestay,Food & Culinary,Food & Dining,attraction,3.3,,Unknown,Paloh Street Food Paradise,Ipoh,3.3,False,,Unknown,,4.5948669,101.085245,https://www.google.com/maps/search/Paloh+Street+Food+Paradise+Perak,Google Places,Paloh Street Food Paradise,Paloh Street Food Paradise,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed,Paloh Street Food Paradise,True,False
2749,Johor Bahru Walk,Johor,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,2-3 Days,Couple,Taxi/Grab,Mid-range Hotel,Highland & Nature,Sightseeing & Tours,attraction,5.0,,Unknown,Johor Bahru Walk,Johor Bahru,5.0,False,,Unknown,,1.4605023,103.7634878,https://www.google.com/maps/search/Johor+Bahru+Walk+Johor,Google Places,Johor Bahru Walk,Johor Bahru Walk,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Johor Bahru Walk,True,False
2750,Ufo-X The Top,Penang,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Sightseeing,2-3 Days,Couple,Car/Self-Drive,Boutique Hotel,Heritage & Culture,Sightseeing & Tours,attraction,2.0,,Unknown,Ufo-X The Top,George Town,2.0,False,,Unknown,,5.4147209,100.3295307,https://www.google.com/maps/search/Ufo-X+The+Top+Penang,Google Places,Ufo-X The Top,Ufo-X The Top,Sightseeing & Tours,Heritage & Culture,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Ufo-X The Top,True,False
2751,Sarawak Museum Old Building,Sarawak,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Group of Friends,Car/Self-Drive,Mid-range Hotel,Heritage & Culture,Heritage & Museum,attraction,3.0,,Unknown,Sarawak Museum Old Building,Kuching,3.0,False,,Unknown,,1.5551534,110.3415785,https://www.google.com/maps/search/Sarawak+Museum+Old+Building+Sarawak,Google Places,Sarawak Museum Old Building,Sarawak Museum Old Building,Heritage & Museum,Beach & Island,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed,Sarawak Museum Old Building,True,False
2752,Sikh Gurdwara Penang,Penang,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Family,Public Transport,Mid-range Hotel,City & Urban,Sightseeing & Tours,attraction,3.5,,Unknown,Sikh Gurdwara Penang,George Town,3.5,False,,Unknown,,5.4108448,100.3274455,https://www.google.com/maps/search/Sikh+Gurdwara+Penang+Penang,Google Places,Sikh Gurdwara Penang,Sikh Gurdwara Penang,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Sikh Gurdwara Penang,True,False
2753,Magic Mirror Maze Thetop,Penang,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Group of Friends,Tour Bus,Mid-range Hotel,City & Urban,Sightseeing & Tours,attraction,3.5,,Unknown,Magic Mirror Maze Thetop,George Town,3.5,False,,Unknown,,5.4151109,100.3292933,https://www.google.com/maps/search/Magic+Mirror+Maze+Thetop+Penang,Google Places,Magic Mirror Maze Thetop,Magic Mirror Maze Thetop,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed,Magic Mirror Maze Thetop,True,False
2754,Wesley Hotel,Penang,Moderate,Premium,True,low,unknown_price_accommodation_keyword,Relaxation,Half Day,Family,Tour Bus,Resort/Luxury Hotel,City & Urban,Accommodation,accommodation,5.0,,Unknown,Wesley Hotel,George Town,5.0,False,,Unknown,,5.4163935,100.3326786,https://www.google.com/maps/search/Wesley+Hotel+Penang,Google Places,Wesley Hotel,Wesley Hotel,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed,Wesley Hotel,True,False
